yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,h2b,h3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro,yearid-2,teamid-2,lgid-2,playerid,salary
2011,NL,ATL,ATL,E,2,162,81,89,73,N,N,N,N,641,5528,1345,244,16,173,504,1260,77,44,28,30,605,572,3.48,3,16,52,4439,1332,125,521,1332,83,131,0.987,Atlanta Braves,Turner Field,2372940,98,98,ATL,ATL,ATL,1985,ATL,NL,campri01,633333
2012,NL,ATL,ATL,E,2,162,81,94,68,N,Y,N,N,700,5425,1341,263,30,149,567,1289,101,32,34,46,600,549,3.42,5,16,47,4336,1310,145,464,1232,86,147,0.986,Atlanta Braves,Turner Field,2420171,102,101,ATL,ATL,ATL,1985,ATL,NL,campri01,633333
2013,NL,ATL,ATL,E,1,162,81,96,66,Y,N,N,N,688,5441,1354,247,21,181,542,1384,64,31,55,35,548,512,3.18,1,12,53,4351,1326,127,409,1232,85,141,0.986,Atlanta Braves,Turner Field,2548679,104,103,ATL,ATL,ATL,1985,ATL,NL,campri01,633333
2014,NL,ATL,ATL,E,2,162,81,79,83,N,N,N,N,573,5468,1316,240,22,123,472,1369,95,33,43,27,597,547,3.38,5,13,54,4365,1369,121,472,1301,85,143,0.986,Atlanta Braves,Turner Field,2354305,99,99,ATL,ATL,ATL,1985,ATL,NL,campri01,633333
2015,NL,ATL,ATL,E,4,162,81,67,95,N,N,N,N,573,5420,1361,251,18,100,471,1107,69,33,44,31,760,698,4.41,3,10,44,4276,1462,170,550,1148,90,186,0.985,Atlanta Braves,Turner Field,2001392,97,97,ATL,ATL,ATL,1985,ATL,NL,campri01,633333
2016,NL,ATL,ATL,E,5,161,81,68,93,N,N,N,N,649,5514,1404,295,27,122,502,1240,75,34,59,52,779,725,4.51,1,9,39,4343,1414,177,547,1227,101,134,0.983,Atlanta Braves,Turner Field,2020914,102,104,ATL,ATL,ATL,1985,ATL,NL,campri01,633333
2000,NL,ATL,ATL,E,1,162,81,95,67,Y,N,N,N,810,5489,1490,274,26,179,595,1010,148,56,59,45,714,648,4.05,13,9,53,4321,1428,165,484,1093,129,138,0.979,Atlanta Braves,Turner Field,3234304,101,99,ATL,ATL,ATL,1985,ATL,NL,ceronri01,625000
2001,NL,ATL,ATL,E,1,162,81,88,74,Y,N,N,N,729,5498,1432,263,24,174,493,1039,85,46,45,52,643,578,3.59,5,13,41,4342,1363,153,499,1133,103,133,0.983,Atlanta Braves,Turner Field,2823530,103,102,ATL,ATL,ATL,1985,ATL,NL,ceronri01,625000
2002,NL,ATL,ATL,E,1,161,81,101,59,Y,N,N,N,708,5495,1428,280,25,164,558,1028,76,39,54,49,565,511,3.13,3,15,57,4402,1302,123,554,1058,114,170,0.982,Atlanta Braves,Turner Field,2603484,102,101,ATL,ATL,ATL,1985,ATL,NL,ceronri01,625000
2003,NL,ATL,ATL,E,1,162,81,101,61,Y,N,N,N,907,5670,1608,321,31,235,545,933,68,22,49,49,740,663,4.1,4,7,51,4369,1425,147,555,992,121,166,0.981,Atlanta Braves,Turner Field,2401084,101,100,ATL,ATL,ATL,1985,ATL,NL,ceronri01,625000
